Implementation Speedup
Seq 1.01144
Seq 1.00966
Seq 1.00663
Seq 1.01305
Seq 1.0127
Seq 1.00934
Seq 1.01547
Seq 1.02137
Seq 1.01201
Seq 1.01403
OMP 4.63385
OMP 4.48077
OMP 4.59788
OMP 4.66099
OMP 4.62348
OMP 4.62673
OMP 4.51234
OMP 4.442
OMP 4.5594
OMP 4.37139
Thread 1.51327
Thread 1.55028
Thread 1.5256
Thread 1.51761
Thread 1.49975
Thread 1.5222
Thread 1.51584
Thread 1.5082
Thread 1.5201
Thread 1.51523
Vector 3.61962
Vector 3.67797
Vector 3.48208
Vector 3.51916
Vector 3.59549
Vector 3.35786
Vector 3.57783
Vector 3.50403
Vector 3.58087
Vector 3.57244
CUDA 0.919976
CUDA 1.12738
CUDA 1.08348
CUDA 1.0898
CUDA 1.10875
CUDA 1.14628
CUDA 1.10265
CUDA 1.15537
CUDA 1.10488
CUDA 1.0984
